"1855Arizona89A","Sedona","AZ","86336","AUTO_UNIQUE_ID_2019-10-01_jennismarie_GFaddresses","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType","PPostArticle","PPreArticle","PPreType","PNumber","PNumberFractional","PPreDirectional","PName","PSuffix","PPostDirectional","PSuiteType","PSuiteNumber","PPostOfficeBoxType","PPostOfficeBoxNumber","PCity","PState","PZip","PZipPlus1","PZipPlus2","PZipPlus3","PZipPlus4","PZipPlus5","PPreQualifier","PPostQualifier","PConsolidatedCity","PMinorCivilDivision","PCountySubRegion","PCounty"
"4366 E Huntington Dr"," Flagstaff","AZ","86004",42,"USCGeocoder",249.8217,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.2185747,-111.5862801,"Exact","","","","4366","","E","HUNTINGTON","DR","","","","","","Flagstaff","AZ","86004","","","","","","","","","","",""
"8500 US-89"," Flagstaff","AZ","86004",43,"USCGeocoder",78.1183,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","368.804705308517","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",35.265076189134,-111.547673213644,"Exact","","","US","8500","","","89","","","","","","","Flagstaff","AZ","86004","","","","","","","","","","",""
"980 N Country Club Dr"," Flagstaff","AZ","86004",44,"USCGeocoder",234.4315,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.21432,-111.5793985,"Exact","","","","980","","N","COUNTRY CLUB","DR","","","","","","Flagstaff","AZ","86004","","","","","","","","","","",""
"5200 E Cortland Blvd"," Flagstaff","AZ","86004",45,"USCGeocoder",234.3775,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.2123599,-111.5764441,"Exact","","","","5200","","E","CORTLAND","BLVD","","","","","","Flagstaff","AZ","86004","","","","","","","","","","",""
"3951 N State Rte 89A"," Sedona","AZ","86336",46,"USCGeocoder",171.9916,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3991.4593774667","LinearInterpolationAddressRange","StreetSegment","97.9289940828402","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",34.8741109006508,-111.755791237833,"Relaxed","","","RT","3951","","N","89A","","","","","","","Sedona","AZ","86336","","","","","","","","","","",""
"320 N State Rte 89A"," Sedona","AZ","86336",47,"USCGeocoder",78.1357,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","710.328369559953","LinearInterpolationAddressRange","StreetSegment","97.9289940828402","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",34.8771422100389,-111.752459293087,"Relaxed","","","RT","320","","N","89A","","","","","","","Sedona","AZ","86336","","","","","","","","","","",""
"525 Boynton Canyon Road"," Sedona","AZ","86336",48,"USCGeocoder",93.7244,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","223.012598186731","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",34.9139645556007,-111.852705957091,"Relaxed","","","","525","","","BOYNTON CANYON","RD","","","","","","Sedona","AZ","86336","","","","","","","","","","",""
"525 Boynton Canyon Rd"," Sedona","AZ","86336",49,"USCGeocoder",31.222,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","223.012598186731","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",34.9139645556007,-111.852705957091,"Relaxed","","","","525","","","BOYNTON CANYON","RD","","","","","","Sedona","AZ","86336","","","","","","","","","","",""
"1855 Arizona 89A"," Sedona","AZ","86336",50,"USCGeocoder",203.0172,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","584626901.876792","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",34.8942696077228,-111.874294525021,"Relaxed;Soundex","","","","1855","","","ARIZONA","","","UNIT","89A","","","Sedona","AZ","86336","","","","","","","","","","",""
"120 N Leroux St"," Flagstaff","AZ","86001",51,"USCGeocoder",171.8953,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1991384,-111.6482982,"Exact","","","","120","","N","LEROUX","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
